case_id,fold,dice_WT,iou_WT,sens_WT,spec_WT,prec_WT,dice_TC,iou_TC,sens_TC,spec_TC,prec_TC,dice_ET,iou_ET,sens_ET,spec_ET,prec_ET,hd95_WT,hd95_TC,hd95_ET,dice_NCR,dice_ED,dice_ET_channel
BraTS20_Training_249,2,0.936283611856131,0.8802004202359787,0.9258887736538756,0.999063103493461,0.9469145033124098,0.9234547488206973,0.8577946424538103,0.8730574712643678,0.9998825741921742,0.9800268373245252,0.9323628162083194,0.8732955636642981,0.9022321428571428,0.9997974092648261,0.9645754892082515,3.0,1.7320507764816284,4.358899116516113,0.15647226173541964,0.8708544985505705,0.9323628162083194
BraTS20_Training_250,2,0.8779956024463702,0.7825242078914433,0.965930804569663,0.9946269480225957,0.804735130741092,0.22487291761034778,0.12667989793025233,0.6842266462480857,0.9956313783168615,0.1345458925560106,0.7021980159502043,0.5410671462829736,0.5609073958980734,0.9999641273491267,0.9386375455018201,11.180339813232422,26.115121841430664,12.206555366516113,0.00013579576317218902,0.7558634047749379,0.7021980159502043
BraTS20_Training_263,2,0.8168029597673688,0.6903355332994877,0.982720672776847,0.9952806862459804,0.6988179779480471,0.38883523276028586,0.24133796906845703,0.8972587474927568,0.9955781877567833,0.24819678194932496,,,,,,7.681145668029785,14.764822959899902,,0.134297404853988,0.5131230848289907,
BraTS20_Training_267,2,0.8838806446465614,0.7919230505295423,0.8695886970172685,0.9974003751795585,0.8986502271252433,0.49792386248862175,0.3314904285168767,0.36106841239126897,0.9983706616058329,0.801847389558233,0.8497066666666667,0.7386869436201781,0.757800608828006,0.9999558192539691,0.9669822772517601,4.123105525970459,14.487918853759766,4.092329025268555,0.42164864025302873,0.4611783780956615,0.8497066666666667
BraTS20_Training_276,2,0.8938515923875321,0.8080756490142571,0.9798803793884485,0.9964319568378139,0.821709452441015,0.8624657534246576,0.7581888246628131,0.9654072620215898,0.9996742526232314,0.7793622499504852,0.7993160267371366,0.6657172449508026,0.9984466019417476,0.9996238303887174,0.666407465007776,5.099019527435303,2.0,1.7320507764816284,0.3491827637444279,0.8744783362520365,0.7993160267371366
BraTS20_Training_279,2,0.8709312017781957,0.7713712425229046,0.8765972354535565,0.9935345493060892,0.8653379444242204,0.8289592684045144,0.7078825236719973,0.7297389372338455,0.9987952747259098,0.9594068275203989,,,,,,33.8762092590332,10.677078247070312,,0.8313149265950363,0.4918704619359437,
BraTS20_Training_283,2,0.937889226822254,0.8830427583520015,0.9762038073908175,0.9984979239524561,0.9024686442365121,0.5502729844976687,0.37957006982242014,0.6041302065103256,0.997949033124283,0.5052323454079766,0.6255566311713456,0.455134525989576,0.5728723404255319,0.9991148568755722,0.6889125799573561,2.0,7.549834251403809,7.348469257354736,0.0509812767877284,0.7748452628784598,0.6255566311713456
BraTS20_Training_285,2,0.6978634327122817,0.5359372052394583,0.5767726787243245,0.9970191136559611,0.8833103522859383,0.49843321933138757,0.33194209258508434,0.3387652277622948,0.9994229395371148,0.9427942421676545,0.6791964824553841,0.5142297650130548,0.5174044397740707,0.9999843409488519,0.9882087305569494,13.416407585144043,20.717144012451172,7.874007701873779,0.40989060392627,0.6050629226270031,0.6791964824553841
BraTS20_Training_288,2,0.9305869699833784,0.8701848059293934,0.927039908572616,0.9985125475527993,0.9341612793467166,0.8043135122229443,0.6726792687255946,0.815992033588115,0.9976868261887744,0.7929645612658559,0.8955599697842934,0.8108724288175094,0.8754033801892468,0.9995771591546787,0.9166666666666666,6.0,6.4031243324279785,1.7320507764816284,0.6255044390637611,0.7969599097713524,0.8955599697842934
BraTS20_Training_290,2,0.9017441667417713,0.8210693168517391,0.8629905031686369,0.9960327874403702,0.9441420412217532,0.7355084356331648,0.581663378673035,0.8862521752887201,0.9989143807165153,0.6285906642728905,0.831313672922252,0.7113231785648743,0.9488372093023256,0.9995529608640834,0.7396946564885496,7.4833149909973145,9.05538558959961,2.4494898319244385,0.10765064319566689,0.8883196645677545,0.831313672922252
BraTS20_Training_302,2,0.8899560935203229,0.8017305336530997,0.8038177776624544,0.9999078209202412,0.9967716332747008,0.8480008070753606,0.7361123274075372,0.7386133973814475,0.9998938563895251,0.9954209923814787,0.6892583120204604,0.5258536585365854,0.9972247918593895,0.9994264300330469,0.5266243282852956,5.385164737701416,5.74456262588501,4.582575798034668,0.8313139644296783,0.2594065262396898,0.6892583120204604
BraTS20_Training_303,2,0.8434360828884679,0.7292602426979676,0.8196981953083596,0.9985539568275127,0.8685898383235303,0.6311171415649027,0.4610453974757153,0.5537741090562743,0.9983573454339194,0.7335716538744611,0.502262443438914,0.33534743202416917,0.33534743202416917,1.0,1.0,9.219544410705566,17.804492950439453,14.0,0.5965796664468105,0.5206566132579328,0.502262443438914
BraTS20_Training_308,2,0.9340754860059686,0.8763054735517591,0.8945002395925444,0.998463940987266,0.9773146798795298,0.7737490798588174,0.6309875631079916,0.6693509937235078,0.9966580974095139,0.916730772671163,0.765229389444636,0.6197340484970387,0.7844413012729844,0.9993590487041117,0.7469360269360269,5.74456262588501,13.601470947265625,6.0,0.7533724691505931,0.5985374116420731,0.765229389444636
